"status","url","link text","redir","On page"
"200 no error","http://www.travel.dod.mil/Travel-Transportation-Rates/Meal-Rates/Archived-Meal-Rates/","Archived Meal Rates","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
"200 no error","http://www.travel.dod.mil/Travel-Transportation-Rates/Mileage-Rates/","Mileage Rates","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
"200 no error","http://www.travel.dod.mil/Travel-Transportation-Rates/Dislocation-Allowance/","Dislocation Allowance","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
"200 no error","http://www.travel.dod.mil/Allowances/","Allowances","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
"200 no error","http://www.travel.dod.mil/Allowances/Basic-Allowance-for-Housing/","Basic Allowance for Housing","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
"200 no error","http://www.travel.dod.mil/Allowances/Basic-Allowance-for-Housing/BAH-Rate-Lookup/","BAH Rate Lookup","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
"200 no error","http://www.travel.dod.mil/Allowances/Basic-Allowance-for-Housing/BAH-Data-Collection/","BAH Data Collection","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
"200 no error","http://www.travel.dod.mil/Allowances/Overseas-Housing-Allowance/","Overseas Housing Allowance","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
"200 no error","http://www.travel.dod.mil/Allowances/Overseas-Housing-Allowance/OHA-Rate-Lookup/","OHA Rate Lookup","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
"200 no error","http://www.travel.dod.mil/Allowances/Overseas-Housing-Allowance/OHA-Data-Collection-Surveys/","OHA Data Collection & Surveys","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
"200 no error","http://www.travel.dod.mil/Allowances/CONUS-Cost-of-Living-Allowance/","CONUS Cost-of-Living Allowance","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
"200 no error","http://www.travel.dod.mil/Allowances/CONUS-Cost-of-Living-Allowance/CONUS-COLA-Rate-Lookup/","CONUS COLA Rate Lookup","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
"200 no error","http://www.travel.dod.mil/Allowances/CONUS-Cost-of-Living-Allowance/Living-Pattern-Survey/","Living Pattern Survey","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
